Time	Early	Early	Late	Late	Late	Late	Late	Late	Late	Late	Late	Late	Early	Early	Early	Early	Early	Early	Early
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.02359069	0.02790512	0.03886490	0.07140024	0.05162828	0.02981651	0.05274914	0.04614591	0.03483008	0.04458983	0.03914390	0.03985849	0.02007722	0.07321071	0.04063509	0.07126815	0.11145364	0.12799648	0.09908562
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|NA	0.02359069	0.02790512	0.03886490	0.07140024	0.05162828	0.02981651	0.05274914	0.04614591	0.03483008	0.04458983	0.03914390	0.03985849	0.02007722	0.07321071	0.04063509	0.07126815	0.11145364	0.12799648	0.09908562
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae	0.5162377	0.2928045	0.6018918	0.6878223	0.6366164	0.7267775	0.7467354	0.5684455	0.7268953	0.6406643	0.5747677	0.5853774	0.5174339	0.5865962	0.4625942	0.5366073	0.6324401	0.3622168	0.3845387
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|NA	0.5162377	0.2928045	0.6018918	0.6878223	0.6366164	0.7267775	0.7467354	0.5684455	0.7268953	0.6406643	0.5747677	0.5853774	0.5174339	0.5865962	0.4625942	0.5366073	0.6324401	0.3622168	0.3845387
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|NA|NA	0.5162377	0.2928045	0.6018918	0.6878223	0.6366164	0.7267775	0.7467354	0.5684455	0.7268953	0.6406643	0.5747677	0.5853774	0.5174339	0.5865962	0.4625942	0.5366073	0.6324401	0.3622168	0.3845387
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae	0.028186275	0.037871238	0.066008637	0.035303451	0.032962669	0.011754587	0.021477663	0.018303687	0.005766569	0.051031706	0.048343190	0.028301887	0.071933472	0.069386268	0.055705059	0.039077706	0.050509841	0.062898614	0.072817955
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	0.028186275	0.037871238	0.066008637	0.035303451	0.032962669	0.011754587	0.021477663	0.018303687	0.005766569	0.051031706	0.048343190	0.028301887	0.071933472	0.069386268	0.055705059	0.039077706	0.050509841	0.062898614	0.072817955
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|NA	0.028186275	0.037871238	0.066008637	0.035303451	0.032962669	0.011754587	0.021477663	0.018303687	0.005766569	0.051031706	0.048343190	0.028301887	0.071933472	0.069386268	0.055705059	0.039077706	0.050509841	0.062898614	0.072817955
Bacteria|Cyanobacteria	0.0000000000	0.0000000000	0.0000000000	0.0019833399	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002970003	0.0009105810	0.0000000000	0.0000000000	0.0000000000	0.0028590279	0.0009975062
Bacteria|Cyanobacteria|Cyanobacteriia	0.0000000000	0.0000000000	0.0000000000	0.0019833399	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002970003	0.0009105810	0.0000000000	0.0000000000	0.0000000000	0.0028590279	0.0009975062
Bacteria|Cyanobacteria|Cyanobacteriia|Chloroplast	0.0000000000	0.0000000000	0.0000000000	0.0019833399	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002970003	0.0009105810	0.0000000000	0.0000000000	0.0000000000	0.0028590279	0.0009975062
Bacteria|Cyanobacteria|Cyanobacteriia|Chloroplast|NA	0.0000000000	0.0000000000	0.0000000000	0.0019833399	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002970003	0.0009105810	0.0000000000	0.0000000000	0.0000000000	0.0028590279	0.0009975062
Bacteria|Cyanobacteria|Cyanobacteriia|Chloroplast|NA|NA	0.0000000000	0.0000000000	0.0000000000	0.0019833399	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002970003	0.0009105810	0.0000000000	0.0000000000	0.0000000000	0.0028590279	0.0009975062
Bacteria|Cyanobacteria|Cyanobacteriia|Chloroplast|NA|NA|NA	0.0000000000	0.0000000000	0.0000000000	0.0019833399	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002970003	0.0009105810	0.0000000000	0.0000000000	0.0000000000	0.0028590279	0.0009975062
Bacteria|Deinococcota	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003436426	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Deinococcota|Deinococci	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003436426	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Deinococcota|Deinococci|Deinococcales	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003436426	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
